1	0,00	15,00	35,00	40,00	65,00	100,00	100,00	100,00	100,00	100,00
2	0,00	12,50	37,50	50,00	85,00	100,00	100,00	100,00	100,00	100,00
3	0,00	5,00	18,33	43,33	95,00	100,00	100,00	100,00	100,00	100,00
4	0,00	11,25	27,50	50,63	95,00	100,00	100,00	100,00	100,00	100,00
5	0,00	19,00	32,00	53,00	91,00	100,00	100,00	100,00	100,00	100,00


1	0,00	0,00	0,00	0,00	55,00	0,96	28,61	45,19	62,50	95,19
2	0,00	0,00	0,00	0,00	82,50	3,20	30,00	57,73	77,07	98,67
3	0,00	0,00	0,00	0,00	66,67	0,00	25,26	53,65	77,51	98,74
4	0,00	0,00	0,00	0,00	57,50	0,70	31,57	54,68	73,93	98,60
5	0,00	0,00	0,00	0,00	56,00	2,83	23,07	47,98	76,43	98,99


1	0,00	0,00	10,00	30,00	90,00	1,92	41,83	61,06	75,00	99,04
2	0,00	0,00	7,50	38,13	90,00	4,27	42,87	70,67	90,87	99,47
3	0,00	0,00	0,00	25,83	95,00	0,00	36,76	63,30	90,41	99,77
4	0,00	0,00	0,00	12,19	96,25	6,75	39,04	67,06	89,13	99,87
5	0,00	0,00	0,00	17,25	94,00	6,18	41,78	69,68	89,13	99,88
