1	0,00	10,00	31,00	48,00	86,00	100,00	100,00	100,00	100,00	100,00
2	0,00	11,00	20,00	46,00	68,00	100,00	100,00	100,00	100,00	100,00
3	0,00	14,00	20,00	46,67	81,33	100,00	100,00	100,00	100,00	100,00
4	0,00	7,50	22,00	42,00	91,00	100,00	100,00	100,00	100,00	100,00
5	0,00	8,00	18,00	40,00	88,80	100,00	100,00	100,00	100,00	100,00


1	46,00	54,00	62,00	74,00	96,00	0,00	30,00	45,00	65,00	95,00
2	44,00	61,00	73,00	78,00	98,00	0,00	35,00	57,50	70,00	97,50
3	47,33	55,17	68,67	78,67	97,33	0,00	25,00	48,33	70,00	96,67
4	46,00	57,00	64,50	74,00	97,00	0,00	22,50	41,25	56,25	96,25
5	43,60	56,60	63,80	81,20	95,20	0,00	31,75	45,50	74,00	94,00


1	48,00	78,00	88,00	94,00	96,00	5,00	68,75	85,00	90,00	95,00
2	51,00	77,75	87,50	94,00	98,00	15,00	64,38	82,50	90,00	97,50
3	47,33	70,67	82,67	92,00	98,67	0,00	50,00	71,67	88,33	98,33
4	52,50	75,38	84,00	93,50	99,00	12,50	55,00	72,50	90,31	98,75
5	45,20	75,90	89,00	96,40	99,20	7,00	61,50	82,50	94,00	99,00
