1	0,00	8,00	20,00	40,00	96,00	100,00	100,00	100,00	100,00	100,00
2	0,00	18,00	33,50	54,25	90,00	100,00	100,00	100,00	100,00	100,00
3	0,00	12,67	30,00	42,00	87,33	100,00	100,00	100,00	100,00	100,00
4	0,00	11,38	24,50	40,00	93,50	100,00	100,00	100,00	100,00	100,00
5	0,00	10,00	24,80	40,40	93,60	100,00	100,00	100,00	100,00	100,00


1	0,00	0,00	0,00	6,00	88,00	4,64	33,44	54,18	78,17	99,07
2	0,00	0,00	0,00	0,00	64,00	0,00	22,63	41,36	70,82	99,18
3	0,00	0,00	0,00	0,00	27,33	1,11	21,99	55,14	71,56	98,89
4	0,00	0,00	0,00	0,00	13,50	1,98	31,17	61,87	76,96	98,95
5	0,00	0,00	0,00	0,00	60,80	2,02	20,57	48,71	73,05	99,12


1	0,00	2,00	11,00	37,00	96,00	4,95	45,67	70,12	85,22	99,69
2	0,00	0,00	0,00	15,25	91,00	0,91	34,07	57,30	88,62	99,75
3	0,00	0,00	0,00	0,00	84,67	7,46	39,92	61,46	80,92	99,83
4	0,00	11,50	24,50	42,75	93,50	2,37	72,67	90,39	95,45	99,88
5	0,00	0,00	0,00	1,30	68,40	4,41	36,70	56,35	80,96	99,26
