1	0,00	2,00	10,00	32,00	88,00	100,00	100,00	100,00	100,00	100,00
2	0,00	4,00	20,00	43,00	85,00	100,00	100,00	100,00	100,00	100,00
3	0,00	14,17	19,33	38,00	90,67	100,00	100,00	100,00	100,00	100,00
4	0,00	4,50	27,00	45,00	90,50	100,00	100,00	100,00	100,00	100,00
5	0,00	8,80	21,60	36,80	94,40	100,00	100,00	100,00	100,00	100,00


1	0,00	0,00	0,00	8,00	96,00	0,00	33,70	53,20	78,00	99,60
2	0,00	0,00	0,00	0,00	85,00	1,20	25,40	55,30	77,20	99,20
3	0,00	0,00	0,00	0,00	76,00	2,13	21,08	52,11	77,59	99,11
4	0,00	0,00	0,00	0,00	21,00	0,00	23,44	48,49	69,11	96,08
5	0,00	0,00	0,00	0,00	66,40	0,00	21,68	46,51	69,89	99,17


1	0,00	0,00	10,00	42,00	96,00	2,00	42,30	68,60	88,90	99,60
2	0,00	0,00	1,00	20,00	98,00	1,70	38,30	64,60	85,30	99,90
3	0,00	0,00	0,67	9,33	98,67	4,13	29,58	65,27	84,61	99,96
4	0,00	0,00	0,00	2,13	99,00	2,35	38,65	56,05	77,72	99,98
5	0,00	0,00	0,00	0,50	94,80	0,00	30,23	56,28	75,38	99,87
